,winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
0,Teso La Monja,Tinto,2013,4.9,58,Espana,Toro,995.0,Toro Red,5.0,3.0
1,Artadi,Vina El Pison,2018,4.9,31,Espana,Vino de Espana,313.5,Tempranillo,4.0,2.0
2,Vega Sicilia,Unico,2009,4.8,1793,Espana,Ribera del Duero,324.95,Ribera Del Duero Red,5.0,3.0
3,Vega Sicilia,Unico,1999,4.8,1705,Espana,Ribera del Duero,692.96,Ribera Del Duero Red,5.0,3.0
4,Vega Sicilia,Unico,1996,4.8,1309,Espana,Ribera del Duero,778.06,Ribera Del Duero Red,5.0,3.0
5,Vega Sicilia,Unico,1998,4.8,1209,Espana,Ribera del Duero,490.0,Ribera Del Duero Red,5.0,3.0
6,Vega Sicilia,Unico,2010,4.8,1201,Espana,Ribera del Duero,349.0,Ribera Del Duero Red,5.0,3.0
7,Vega Sicilia,Unico,1995,4.8,926,Espana,Ribera del Duero,810.89,Ribera Del Duero Red,5.0,3.0
8,Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Espana,Ribera del Duero,345.0,Ribera Del Duero Red,5.0,3.0
9,Vega Sicilia,Unico,2011,4.8,630,Espana,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0
10,Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Espana,Ribera del Duero,514.85,Ribera Del Duero Red,5.0,3.0
11,Pago de Carraovejas,El Anejon,2016,4.8,454,Espana,Ribera del Duero,105.15,Ribera Del Duero Red,5.0,3.0
12,Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Espana,Ribera del Duero,430.0,Ribera Del Duero Red,5.0,3.0
13,Vega Sicilia,Unico,1970,4.8,417,Espana,Ribera del Duero,925.0,Ribera Del Duero Red,5.0,3.0
14,Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Espana,Montilla-Moriles,350.0,Pedro Ximenez,5.0,1.0
15,Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Espana,Ribera del Duero,166.18,Ribera Del Duero Red,5.0,3.0
16,Vega Sicilia,Unico,1962,4.8,295,Espana,Ribera del Duero,1620.0,Ribera Del Duero Red,5.0,3.0
17,Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Espana,Ribera del Duero,431.36,Ribera Del Duero Red,5.0,3.0
18,Bodegas El Nido,El Nido,2018,4.8,217,Espana,Jumilla,195.627379550654,Red,4.0,3.0
19,Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Espana,Ribera del Duero,824.43,Ribera Del Duero Red,5.0,3.0
20,Valdespino,Toneles Moscatel,N.V.,4.8,174,Espana,Jerez-Xeres-Sherry,253.0,Sherry,4.0,3.0
21,Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172,Espana,Ribera del Duero,570.51,Ribera Del Duero Red,5.0,3.0
22,Dominio de Pingus,Pingus,2016,4.8,145,Espana,Ribera del Duero,1280.0,Ribera Del Duero Red,5.0,3.0
23,Toro Albala,Don PX Convento Seleccion,1931,4.8,139,Espana,Montilla-Moriles,244.85,Pedro Ximenez,5.0,1.0
24,Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125,Espana,Ribera del Duero,719.34,Ribera Del Duero Red,5.0,3.0
25,Vega Sicilia,Unico,1979,4.8,118,Espana,Ribera del Duero,815.0,Ribera Del Duero Red,5.0,3.0
26,Toro Albala,Don PX Pedro Ximenez,1946,4.8,103,Espana,Montilla-Moriles,285.86,Pedro Ximenez,5.0,1.0
27,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87,Espana,Priorato,1410.26,Priorat Red,4.0,3.0
28,Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87,Espana,Ribera del Duero,813.96,Ribera Del Duero Red,5.0,3.0
29,Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,84,Espana,Ribera del Duero,435.75,Ribera Del Duero Red,5.0,3.0
30,Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79,Espana,Toro,369.05,Toro Red,5.0,3.0
31,Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Espana,Ribera del Duero,1182.77,Ribera Del Duero Red,5.0,3.0
32,Toro Albala,Don PX Convento Seleccion,1929,4.8,69,Espana,Montilla-Moriles,227.95,Pedro Ximenez,5.0,1.0
33,Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Espana,Ribera del Duero,999.0,Ribera Del Duero Red,5.0,3.0
34,Vina Sastre,Pesus Ribera del Duero,2007,4.8,68,Espana,Ribera del Duero,360.0,Ribera Del Duero Red,5.0,3.0
35,Teso La Monja,Tinto,2012,4.8,56,Espana,Toro,1190.0,Toro Red,5.0,3.0
36,Dominio de Pingus,Pingus,2017,4.8,52,Espana,Ribera del Duero,1150.0,Ribera Del Duero Red,5.0,3.0
37,Teso La Monja,Tinto,2009,4.8,50,Espana,Toro,950.0,Toro Red,5.0,3.0
38,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40,Espana,Priorato,1021.21,Priorat Red,4.0,3.0
39,Sierra Cantabria,Magico,2016,4.8,40,Espana,Rioja,544.5,Rioja Red,4.0,3.0
40,Teso La Monja,Tinto,2011,4.8,32,Espana,Toro,1295.0,Toro Red,5.0,3.0
41,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31,Espana,Priorato,992.2,Priorat Red,4.0,3.0
42,Teso La Monja,Tinto,2015,4.8,28,Espana,Toro,1289.44,Toro Red,5.0,3.0
43,Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26,Espana,Bierzo,1098.9,Red,4.0,3.0
44,La Rioja Alta,Gran Reserva 890,1985,4.8,26,Espana,Rioja,215.34,Rioja Red,4.0,3.0
45,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26,Espana,Priorato,1094.9,Priorat Red,4.0,3.0
46,Vega Sicilia,Unico Reserva Especial Edicion,,4.7,12421,Espana,Ribera del Duero,423.5,Ribera Del Duero Red,5.0,3.0
47,Vega Sicilia,Valbuena 5o,2010,4.7,5266,Espana,Ribera del Duero,239.5,Ribera Del Duero Red,5.0,3.0
48,Vega Sicilia,Valbuena 5o,2014,4.7,4350,Espana,Ribera del Duero,175.5,Ribera Del Duero Red,5.0,3.0
49,Vega Sicilia,Valbuena 5o,2006,4.7,3929,Espana,Ribera del Duero,194.0,Ribera Del Duero Red,5.0,3.0
50,Vega Sicilia,Unico,2005,4.7,3437,Espana,Ribera del Duero,381.15,Ribera Del Duero Red,5.0,3.0
51,Vega Sicilia,Unico,2004,4.7,3164,Espana,Ribera del Duero,584.43,Ribera Del Duero Red,5.0,3.0
52,Vega Sicilia,Unico,2000,4.7,3127,Espana,Ribera del Duero,555.2,Ribera Del Duero Red,5.0,3.0
53,Vega Sicilia,Unico,2007,4.7,2935,Espana,Ribera del Duero,445.28,Ribera Del Duero Red,5.0,3.0
54,Vega Sicilia,Valbuena 5o,2015,4.7,2826,Espana,Ribera del Duero,189.0,Ribera Del Duero Red,5.0,3.0
55,Vega Sicilia,Unico,2006,4.7,2765,Espana,Ribera del Duero,362.25,Ribera Del Duero Red,5.0,3.0
56,Vega Sicilia,Unico,2008,4.7,2480,Espana,Ribera del Duero,289.0,Ribera Del Duero Red,5.0,3.0
57,Vega Sicilia,Unico,2003,4.7,2419,Espana,Ribera del Duero,325.0,Ribera Del Duero Red,5.0,3.0
58,Vega Sicilia,Valbuena 5o,2016,4.7,2177,Espana,Ribera del Duero,107.57,Ribera Del Duero Red,5.0,3.0
59,Vega Sicilia,Valbuena 5o,2005,4.7,1892,Espana,Ribera del Duero,234.0,Ribera Del Duero Red,5.0,3.0
60,Vega Sicilia,Unico,2002,4.7,1199,Espana,Ribera del Duero,500.94,Ribera Del Duero Red,5.0,3.0
61,Vega Sicilia,Unico,1991,4.7,1141,Espana,Ribera del Duero,698.9,Ribera Del Duero Red,5.0,3.0
62,Vega Sicilia,Unico,1994,4.7,940,Espana,Ribera del Duero,872.47,Ribera Del Duero Red,5.0,3.0
63,Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935,Espana,Ribera del Duero,877.85,Ribera Del Duero Red,5.0,3.0
64,Vega Sicilia,Unico,1990,4.7,690,Espana,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0
65,Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685,Espana,Ribera del Duero,113.18,Ribera Del Duero Red,5.0,3.0
66,Vega Sicilia,Unico,1989,4.7,675,Espana,Ribera del Duero,679.72,Ribera Del Duero Red,5.0,3.0
67,Vega Sicilia,Unico,1987,4.7,593,Espana,Ribera del Duero,787.59,Ribera Del Duero Red,5.0,3.0
68,Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560,Espana,Ribera del Duero,480.06,Ribera Del Duero Red,5.0,3.0
69,Pago de Carraovejas,El Anejon,2015,4.7,543,Espana,Ribera del Duero,75.1,Ribera Del Duero Red,5.0,3.0
70,Bodegas El Nido,El Nido,2014,4.7,511,Espana,Jumilla,154.9,Red,4.0,3.0
71,Bodegas El Nido,El Nido,2013,4.7,476,Espana,Jumilla,145.0,Red,4.0,3.0
72,Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Espana,Ribera del Duero,290.0,Ribera Del Duero Red,5.0,3.0
73,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425,Espana,Rioja,795.0,Rioja White,3.0,3.0
74,Bodegas El Nido,El Nido,2016,4.7,393,Espana,Jumilla,371.78009750522,Red,4.0,3.0
75,Bodegas El Nido,El Nido,2008,4.7,347,Espana,Jumilla,134.19,Red,4.0,3.0
76,Vinedos de Paganos,La Nieta,2015,4.7,312,Espana,Rioja,82.58,Rioja Red,4.0,3.0
77,Vega Sicilia,Unico,1981,4.7,308,Espana,Ribera del Duero,873.86,Ribera Del Duero Red,5.0,3.0
78,Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,303,Espana,Ribera del Duero,774.4,Ribera Del Duero Red,5.0,3.0
79,Emilio Moro,Malleolus de Valderramiro,2016,4.7,300,Espana,Ribera del Duero,84.95,Ribera Del Duero Red,5.0,3.0
80,Dominio de Pingus,Pingus,2001,4.7,295,Espana,Ribera del Duero,940.0,Ribera Del Duero Red,5.0,3.0
81,Vega Sicilia,Unico,1986,4.7,292,Espana,Ribera del Duero,812.63,Ribera Del Duero Red,5.0,3.0
82,Emilio Moro,Malleolus de Sanchomartin,2016,4.7,291,Espana,Ribera del Duero,116.54,Ribera Del Duero Red,5.0,3.0
83,Dominio de Pingus,Pingus,2004,4.7,285,Espana,Ribera del Duero,1500.0,Ribera Del Duero Red,5.0,3.0
84,Dominio de Pingus,Pingus,2006,4.7,280,Espana,Ribera del Duero,1190.0,Ribera Del Duero Red,5.0,3.0
85,Bodegas El Nido,El Nido,2017,4.7,268,Espana,Jumilla,154.85,Red,4.0,3.0
86,Teso La Monja,Alabaster,2016,4.7,264,Espana,Toro,135.0,Toro Red,5.0,3.0
87,Quinta de la Quietud,La Mula de la Quietud,2015,4.7,256,Espana,Toro,63.75,Toro Red,5.0,3.0
88,Vega Sicilia,Unico,1985,4.7,254,Espana,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0
89,Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,251,Espana,Castilla y Leon,66.07,Tempranillo,4.0,2.0
90,Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,243,Espana,Rioja,213.9,Rioja Red,4.0,3.0
91,Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,240,Espana,Rioja,234.9,Rioja Red,4.0,3.0
92,Vega Sicilia,Unico,1968,4.7,225,Espana,Ribera del Duero,2087.25,Ribera Del Duero Red,5.0,3.0
93,Vinedos de Paganos,La Nieta,2018,4.7,220,Espana,Rioja,89.9,Rioja Red,4.0,3.0
