,winery,wine,year,rating,num_reviews,region,price,latitude,longitude
0,Teso La Monja,Tinto,2013.0,4.9,58,Toro,995.0,41.5216963,-5.3939824
1,Artadi,Vina El Pison,2018.0,4.9,31,Vino de Espana,313.5,42.1771554,-8.4341104
2,Vega Sicilia,Unico,2009.0,4.8,1793,Ribera del Duero,324.95,41.66575665,-3.686329463971761
3,Vega Sicilia,Unico,1999.0,4.8,1705,Ribera del Duero,692.96,41.66575665,-3.686329463971761
5,Vega Sicilia,Unico,1998.0,4.8,1209,Ribera del Duero,490.0,41.66575665,-3.686329463971761
6,Vega Sicilia,Unico,2010.0,4.8,1201,Ribera del Duero,349.0,41.66575665,-3.686329463971761
8,Vega Sicilia,Unico Reserva Especial Edicion,2015.0,4.8,643,Ribera del Duero,345.0,41.66575665,-3.686329463971761
9,Vega Sicilia,Unico,2011.0,4.8,630,Ribera del Duero,315.0,41.66575665,-3.686329463971761
10,Vega Sicilia,Unico Reserva Especial Edicion,2016.0,4.8,591,Ribera del Duero,514.85,41.66575665,-3.686329463971761
11,Pago de Carraovejas,El Anejon,2016.0,4.8,454,Ribera del Duero,105.15,41.66575665,-3.686329463971761
12,Vega Sicilia,Unico Reserva Especial Edicion,2018.0,4.8,438,Ribera del Duero,430.0,41.66575665,-3.686329463971761
15,Pago de Carraovejas,Cuesta de Las Liebres,2015.0,4.8,372,Ribera del Duero,166.18,41.66575665,-3.686329463971761
17,Vega Sicilia,Unico Reserva Especial Edicion,2019.0,4.8,250,Ribera del Duero,431.36,41.66575665,-3.686329463971761
18,Bodegas El Nido,El Nido,2018.0,4.8,217,Jumilla,195.627379550654,38.4735408,-1.3285417
19,Vega Sicilia,Unico Reserva Especial Edicion,2004.0,4.8,211,Ribera del Duero,824.43,41.66575665,-3.686329463971761
21,Vega Sicilia,Unico Reserva Especial Edicion,2013.0,4.8,172,Ribera del Duero,570.51,41.66575665,-3.686329463971761
22,Dominio de Pingus,Pingus,2016.0,4.8,145,Ribera del Duero,1280.0,41.66575665,-3.686329463971761
24,Vega Sicilia,Unico Reserva Especial Edicion,2010.0,4.8,125,Ribera del Duero,719.34,41.66575665,-3.686329463971761
27,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004.0,4.8,87,Priorato,1410.26,44.8741121,10.1628956
